,BT549_1,BT549_2,BT549_3,BT549DoxR_1,BT549DoxR_2,BT549DoxR_3
A0A024R412,1.059506305,1.283269483,0.214463938,-0.822823392,-0.909236124,-0.82518021
A0A087WTA8,1.203369251,1.016293767,0.423006782,-0.951003402,-0.796641649,-0.895024749
A0A0A0MRM8,-0.878771188,-0.925803443,-0.88837394,0.754659969,0.710834499,1.227454102
A0A0A0MTH3,-0.908211447,-0.943754615,-0.857299975,0.716695613,1.155494034,0.83707639
A0A0C4DGB5,-0.765344148,-0.974162039,-0.873316476,1.331006196,0.87486418,0.406952287
B4DHE8,-0.731803049,-0.927145922,-0.929164778,0.634944351,1.440765632,0.512403765
B7ZL14,0.444224579,0.738293986,1.414578984,-0.794439954,-0.883569709,-0.919087885
C9J3D7,-0.850088382,-0.966267348,-0.892193152,0.896350298,0.680054135,1.132144448
C9J6P4,1.110879915,0.898825569,0.702195368,-0.828559798,-0.991580309,-0.891760745
C9JTE9,0.813344337,1.100614265,0.79345069,-0.719331199,-1.038144629,-0.949933464
E7EV99,1.209934672,0.820583258,0.654708062,-0.9219523,-1.003077083,-0.760196609
F5H345,-1.024794727,-0.749805671,-0.950882148,0.977722465,0.865618721,0.882141359
J3KQ48,-0.964254202,-0.912109394,-0.764301272,0.646871137,0.644714482,1.34907925
J3QRU1,1.145575694,1.008030074,0.525084415,-0.887914161,-0.940037309,-0.850738713
O00151,-0.787969731,-0.901476252,-0.980024336,0.801803834,1.264754783,0.602911702
O00592,1.01592108,1.045754629,0.649596853,-0.881145621,-0.939818539,-0.890308402
O00625,-0.88022321,-0.846508858,-0.804394201,1.286553014,0.157593249,1.086980006
O14907,0.853003393,1.35203092,0.400098557,-0.765250921,-0.975289783,-0.864592167
O15075,0.429311127,0.989474054,1.226264491,-0.859006902,-0.897560576,-0.888482192
O43852,0.299224459,1.003514533,1.288303686,-0.883249245,-0.905318909,-0.802474524
O43854,-0.817274387,-0.815066298,-0.809419381,0.074459052,0.863518832,1.503782181
O60701,1.213452121,0.903692992,0.561583748,-0.905306442,-0.84545998,-0.927962439
O75874,1.053605854,0.751383479,0.909226923,-0.836992278,-1.072967803,-0.804256174
O95340,1.329012742,0.669268085,0.658081645,-0.897059668,-0.894562498,-0.864740307
O95671,1.49784981,0.199451068,0.798682218,-0.82347645,-0.804478886,-0.86802776
P05161,1.014788397,0.077105638,1.38438283,-0.851998474,-0.848894233,-0.775384158
P05556,0.953642945,0.906458449,0.873182894,-0.863267075,-0.855203781,-1.014813431
P07602,-0.901980007,-0.9297096,-0.898014396,0.828141675,0.846248892,1.055313437
P07711,0.608870202,0.886697807,1.193209458,-0.853618087,-0.859586358,-0.975573022
P08648,1.300128711,0.705396076,0.66008003,-0.886650665,-0.952277256,-0.826676896
P10515,-0.93452908,-0.953897059,-0.823161072,0.93184709,0.681225384,1.098514737
P11216,0.876960273,0.601259555,1.197667179,-0.751503742,-0.865657694,-1.058725572
P12111,0.404770314,1.046217137,1.189677507,-0.87359146,-0.913717147,-0.85335635
P12277,1.336478432,0.570100975,0.741915099,-0.872627397,-0.892499503,-0.883367606
P13667,0.900533535,1.031788816,0.798038347,-0.919463478,-0.940793552,-0.870103669
P13674,0.870716592,1.016759595,0.844348065,-0.961784815,-0.927322505,-0.842716933
P13797,1.318798204,0.612168182,0.727541881,-0.875802033,-0.909439921,-0.873266313
P13807,1.252732337,0.777136482,0.647165118,-0.788243211,-0.906943212,-0.981847514
P16035,-0.942090976,-0.779791447,-0.986673359,1.075935247,0.67400072,0.958619815
P17302,0.503862135,1.273940888,0.874786348,-0.893662279,-0.958209601,-0.800717491
P17931,0.799289663,0.716132932,1.186272663,-0.847620246,-0.8835078,-0.970567212
P19525,1.406995851,0.721482576,0.479709283,-0.831751136,-0.89216608,-0.884270493
P20839,1.470251242,0.813824882,0.23581018,-0.790394588,-0.856099986,-0.873391731
P20908,1.287041733,0.833581272,0.538972961,-0.895443965,-0.892983603,-0.871168398
P25205,-1.025583186,-0.914066261,-0.769956568,0.809116208,1.122333673,0.778156134
P26038,0.845387963,1.006652023,0.882537778,-0.903917687,-0.901680395,-0.928979682
P26447,0.284621876,1.508689151,0.725323218,-0.849602355,-0.802144861,-0.86688703
P30101,1.019826791,0.954475307,0.752126589,-0.952275946,-0.923113495,-0.851039246
P30530,1.123072902,0.946235046,0.632503072,-0.878080782,-0.843804468,-0.979925771
P33992,-1.065086006,-0.857834388,-0.77346368,0.946037615,1.103889607,0.646456852
P36952,1.239322496,0.874962698,0.55906413,-0.851013083,-0.885777492,-0.93655875
P39880,-0.878356924,-0.888494306,-0.945115133,0.780512684,1.154628477,0.776825203
P40926,-0.976208574,-0.88238008,-0.869420373,1.054192274,0.823163947,0.850652806
P47712,0.218460381,0.412459047,1.714965987,-0.717308555,-0.828097866,-0.800478995
P48506,-0.757413284,-0.967974032,-0.976215088,0.647446929,1.087866748,0.966288728
P49189,1.062901066,0.615882942,1.015301655,-0.86357349,-0.7757113,-1.054800873
P50281,0.946475927,0.479489413,1.230509722,-0.847891297,-0.957732389,-0.850851377
P51649,-0.912056851,-0.821642633,-0.885546907,1.267058472,0.983680619,0.368507299
P55809,-0.986339849,-0.919691486,-0.817423173,0.743828669,1.003602605,0.976023234
P61952,-0.862286211,-0.870249203,-0.922990505,0.796476669,1.30689063,0.55215862
Q03135,1.145590041,0.986002788,0.552315057,-0.819101317,-0.91381158,-0.950994988
Q04828,1.000602029,0.470554031,1.190129658,-0.878827427,-0.886256599,-0.896201693
Q05639,-0.800705411,-0.818672291,-0.854966292,1.580171943,0.621676927,0.272495124
Q07954,0.555091556,1.519050968,0.472187137,-0.858149619,-0.843828914,-0.844351128
Q13509,0.731772537,0.930310705,1.049473098,-0.886730973,-1.064648576,-0.76017679
Q14192,-0.921058352,-0.874400674,-0.863850005,0.914593689,1.248084111,0.49663123
Q14643,0.779731272,1.243348009,0.662843279,-0.867423118,-0.888625916,-0.929873526
Q14764,0.787723081,0.474412513,1.358958099,-0.775873938,-0.962981032,-0.882238724
Q15043,0.792419142,1.107739288,0.812455482,-0.796757367,-0.871828877,-1.044027668
Q16527,-0.935512975,-0.867303384,-0.789540778,0.324987708,1.324900035,0.942469395
Q16822,-0.825876894,-0.877252416,-0.809317282,1.147975631,0.114510838,1.249960123
Q2NKX8,1.226384657,0.897209644,0.548801015,-0.872922016,-0.833524668,-0.965948631
Q53GQ0,1.154291631,0.486324775,1.026103134,-0.855607577,-0.960709431,-0.850402532
Q70UQ0,0.465008748,1.416334828,0.717925609,-0.783745153,-0.911305825,-0.904218208
Q7Z460,-0.928841277,-0.912225293,-0.894493101,0.875220881,0.864827254,0.995511536
Q86V48,-0.882589257,-0.816002256,-0.995376109,0.617285776,1.15465397,0.922027876
Q8TBA6,1.063467673,0.930948459,0.720313821,-0.924699674,-1.009788368,-0.780241911
Q96AY3,0.83663664,0.852393392,1.038478869,-1.00997299,-0.855936642,-0.861599269
Q96CN7,-0.892265145,-0.86020639,-0.859977188,0.323617634,1.133350568,1.15548052
Q96HE7,1.565471995,0.395216176,0.543215479,-0.794157582,-0.90833552,-0.801410548
Q99798,-0.854632086,-0.894273501,-0.972960243,0.879385859,0.759157359,1.083322613
Q9BS26,1.045173369,0.983600471,0.677849565,-0.983938553,-0.981146601,-0.741538252
Q9BVG4,0.696515393,1.235706256,0.748843339,-1.011048383,-0.76278141,-0.907235194
Q9NQH7,-0.9763364,-0.873864715,-0.752799987,0.343582569,0.978241708,1.281176824
Q9NZU5,-0.790693253,-0.904979218,-0.930022578,0.475904176,1.3520142,0.797776673
Q9UEY8,1.533647066,0.677809136,0.295295059,-0.791640374,-0.813937071,-0.901173814
Q9UH62,0.723036761,1.368631188,0.540898009,-0.891060604,-0.847445941,-0.894059413
Q9ULT8,0.923164008,1.059672899,0.729099398,-0.877236011,-0.774749256,-1.059951038
Q9UNF1,1.350242316,0.601725585,0.688694535,-0.96514174,-0.889182459,-0.786338237
Q9Y4F1,-0.704396451,-1.041492016,-0.938370257,0.604139317,0.96882562,1.111293788
